ID,Datu,m,,Dagsoort,Begintijd,Eindtijd,Plaats,District,Wijk,Buurt,Subbuurt,Straat,Postcode,Poging,Opgelost,SOGeslacht
2011000116-1,1,01,2011,ZA,1:30,1:30,ROTTERDAM,DISTRICT 9,1-Jan,7-KOP VAN ZUID,0-0,VEEMSTRAAT,3072DC,N,J,m
2011000127-1,1,01,2011,ZA,1:10,1:33,ROTTERDAM,DISTRICT 9,9-Sep,0-BEVERWAARD,0-0,RIJSENBURGSTRAAT,3077,N,N,m
2011000362-1,1,01,2011,ZA,2:00,2:00,VLAARDINGEN,DISTRICT 1,1-WIJK 1,1-CENTRUM,0-CENTRUM,HOOGSTRAAT,3131BN,N,N,v
2011000739-1,1,01,2011,ZA,1:00,1:00,VLAARDINGEN,DISTRICT 1,4-WIJK 4,2-HAVENGEBIED,0-HAVENGEBIED,KON WILHELMINAHAVEN ZZ,,N,J,m
2011000766-1,1,01,2011,ZA,5:00,5:00,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,9-9,DUYSTSTRAAT,,N,N,m
2011000820-1,1,01,2011,ZA,19:45,19:50,ROTTERDAM,DISTRICT 5,3-Mar,4-LISKWARTIER,5-5,WILLEBRORDUSSTRAAT,3037TZ,N,N,v
2011002339-1,1,01,2011,ZA,0:30,0:45,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,0-0,MAASHAVEN ZZ,3081AE,N,N,v
2011000997-1,2,01,2011,ZO,3:02,3:30,ROTTERDAM,DISTRICT 4,1-Jan,1-OUDE WESTEN,4-4,ADRIANASTRAAT,,N,J,m
2011001493-1,2,01,2011,ZO,22:30,22:45,ROTTERDAM,DISTRICT 5,6-Jun,0-SCHIEBROEK,7-7,MELANCHTONWEG,3045PN,J,N,v
2011002035-1,2,01,2011,ZO,22:00,22:15,ROTTERDAM,DISTRICT 10,7-Jul,4-OUD CHARLOIS,2-2,SCHILPEROORTSTRAAT,3082SZ,N,N,m
2011002166-1,2,01,2011,ZO,18:15,18:15,ROTTERDAM,DISTRICT 9,8-Aug,1-BLOEMHOF,7-7,GROENE HILLEDIJK,3073AK,N,N,v
2011002304-1,2,01,2011,ZO,22:00,22:00,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,3-3,GEERVLIETSTRAAT,3081SE,N,N,v
2011011408-1,2,01,2011,ZO,19:00,19:30,ROTTERDAM,DISTRICT 4,1-Jan,3-C.S. KWARTIER,2-2,STATIONSPLEIN,,N,N,
2011002204-1,3,01,2011,MA,14:15,14:45,ROTTERDAM,DISTRICT 4,1-Jan,1-OUDE WESTEN,7-7,EENDRACHTSPLEIN,3015LA,N,N,v
2011003392-1,4,01,2011,DI,14:00,15:00,ROTTERDAM,DISTRICT 4,1-Jan,0-STADSDRIEHOEK,3-3,BINNENROTTE,3011HC,N,N,m
2011003544-1,4,01,2011,DI,17:35,17:38,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,6-6,HEEMRAADSSINGEL,3023CE,N,N,m
