ID,Dag,Maand,Jaar,Tijd,Plaats,Buurt,Straat,Poging,Opgelost
2011000116-1,1,1,2011,1,ROTTERDAM,7-KOP VAN ZUID,VEEMSTRAAT,N,J
2011000127-1,1,1,2011,1,ROTTERDAM,0-BEVERWAARD,RIJSENBURGSTRAAT,N,N
2011000362-1,1,1,2011,2,VLAARDINGEN,1-CENTRUM,HOOGSTRAAT,N,N
2011000739-1,1,1,2011,1,VLAARDINGEN,2-HAVENGEBIED,KON WILHELMINAHAVEN ZZ,N,J
2011000766-1,1,1,2011,5,ROTTERDAM,4-NIEUWE WESTEN,DUYSTSTRAAT,N,N
2011000820-1,1,1,2011,19,ROTTERDAM,4-LISKWARTIER,WILLEBRORDUSSTRAAT,N,N
2011002339-1,1,1,2011,24,ROTTERDAM,1-TARWEWIJK,MAASHAVEN ZZ,N,N
2011000997-1,2,1,2011,3,ROTTERDAM,1-OUDE WESTEN,ADRIANASTRAAT,N,J
2011001493-1,2,1,2011,22,ROTTERDAM,0-SCHIEBROEK,MELANCHTONWEG,J,N
2011002035-1,2,1,2011,22,ROTTERDAM,4-OUD CHARLOIS,SCHILPEROORTSTRAAT,N,N
2011002166-1,2,1,2011,18,ROTTERDAM,1-BLOEMHOF,GROENE HILLEDIJK,N,N
2011002304-1,2,1,2011,22,ROTTERDAM,1-TARWEWIJK,GEERVLIETSTRAAT,N,N
2011011408-1,2,1,2011,19,ROTTERDAM,3-C.S. KWARTIER,STATIONSPLEIN,N,N
2011002204-1,3,1,2011,14,ROTTERDAM,1-OUDE WESTEN,EENDRACHTSPLEIN,N,N
2011003392-1,4,1,2011,14,ROTTERDAM,0-STADSDRIEHOEK,BINNENROTTE,N,N
2011003544-1,4,1,2011,17,ROTTERDAM,4-NIEUWE WESTEN,HEEMRAADSSINGEL,N,N
2011004542-1,5,1,2011,14,ROTTERDAM,2-KRALINGEN OOST,AVENUE CONCORDIA,N,N
2011004761-1,5,1,2011,20,BARENDRECHT,1-NOORD,VRIJENBURGPARK,N,J
2011015047-1,5,1,2011,9,BARENDRECHT,1-NOORD,KWIKSTAART,N,N
2011018298-1,5,1,2011,20,ROTTERDAM,4-NIEUWE WESTEN,COOLHAVEN,N,N
2011018430-1,5,1,2011,20,ROTTERDAM,4-NIEUWE WESTEN,COOLHAVEN,N,N
2011005410-1,6,1,2011,10,ROTTERDAM,6-ZUIDPLEIN,ZUIDPLEIN HOOG,N,N
2011005797-1,6,1,2011,17,ROTTERDAM,7-PENDRECHT,SLINGE,N,N
2011051576-1,6,1,2011,7,SCHIEDAM,6-NIEUWLAND-OOST,NIEUWE DAMLAAN,N,J
2011007020-1,7,1,2011,18,ROTTERDAM,1-OUDE WESTEN,DIERGAARDESINGEL,N,N
2011009566-1,7,1,2011,17,ROTTERDAM,3-C.S. KWARTIER,STATIONSPLEIN,N,N
2011008322-1,8,1,2011,19,ROTTERDAM,3-OMMOORD,BINNENHOF,N,J
2011008506-1,8,1,2011,17,ROTTERDAM,3-ZUIDWIJK,SLINGE,N,N
2011009222-1,8,1,2011,24,ROTTERDAM,2-HOOGVLIET NOORD,AVELING,N,J
2011008580-2,9,1,2011,16,CAPELLE AAN DEN IJSSEL,1-EILANDENBUURT,AMIRANTEN,N,J
2011008586-1,9,1,2011,19,ROTTERDAM,1-HILLEGERSBERG ZUID,KLEIWEG,N,N
2011008597-1,9,1,2011,19,ROTTERDAM,6-AFRIKAANDERWIJK,DE LA REYSTRAAT,N,N
2011008702-1,10,1,2011,1,ROTTERDAM,7-OUD MATHENESSE,FRANSELAAN,N,J
2011009070-1,10,1,2011,11,ROTTERDAM,9-GROOT IJSSELMONDE,GRIENDERWAARD,N,J
2011009687-1,10,1,2011,19,ROTTERDAM,6-ZUIDPLEIN,ZUIDPLEIN,N,J
2011009793-1,10,1,2011,19,ROTTERDAM,4-RUBROEK,VONDELWEG,N,N
2011011257-1,10,1,2011,16,CAPELLE AAN DEN IJSSEL,6-BUURTSCHAP LIJSTERSINGE,MEEUWENSINGEL,N,N
2011009834-1,11,1,2011,24,ROTTERDAM,7-OUD MATHENESSE,BELGISCHESTRAAT,N,J
2011010824-1,11,1,2011,17,ROTTERDAM,1-TARWEWIJK,GAESBEEKSTRAAT,N,N
2011010873-1,11,1,2011,19,ROTTERDAM,6-AFRIKAANDERWIJK,CHRISTIAAN DE WETSTRAAT,N,J
2011010952-1,11,1,2011,19,BARENDRECHT,1-VRIJENBURG,AVENUE CARRE,N,N
2011011688-1,12,1,2011,12,ROTTERDAM,0-VREEWIJK,PAASWEIDE,N,N
2011012168-1,13,1,2011,2,ROTTERDAM,2-COOL,KROMME ELLEBOOG,N,J
2011013206-1,13,1,2011,14,ROTTERDAM,4-OUD CHARLOIS,HUISMANSTRAAT,N,N
2011013328-1,13,1,2011,20,ROTTERDAM,4-LISKWARTIER,ACKERSDIJKSTRAAT,N,J
2011013919-1,13,1,2011,18,ROTTERDAM,5-OUDE NOORDEN,NOORDSINGEL,N,N
