ID,Dag,Maand,Jaar,Dagsoort,Begintijd,Eindtijd,Plaats,District,Wijk,Buurt,Subbuurt,Straat,Postcode,Poging,Opgelost,SOGeslacht
2011000116-1,1,012,011,ZA,1:30,1:30,ROTTERDAM,DISTRICT 9,1-Jan,7-KOP VAN ZUID,0-0,VEEMSTRAAT,3072DC,Bewolking,J,m
2011000127-1,1,012,011,ZA,1:10,1:33,ROTTERDAM,DISTRICT 9,9-Sep,0-BEVERWAARD,0-0,RIJSENBURGSTRAAT,3077,Bewolking,Bewolking,m
2011000362-1,1,012,011,ZA,2:00,2:00,VLAARDINGEN,DISTRICT 1,1-WIJK 1,1-CENTRUM,0-CENTRUM,HOOGSTRAAT,3131BN,Bewolking,Bewolking,v
2011000739-1,1,012,011,ZA,1:00,1:00,VLAARDINGEN,DISTRICT 1,4-WIJK 4,2-HAVENGEBIED,0-HAVENGEBIED,KON WILHELMINAHAVEN ZZ,,Bewolking,J,m
2011000766-1,1,012,011,ZA,5:00,5:00,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,9-9,DUYSTSTRAAT,,Bewolking,Bewolking,m
2011000820-1,1,012,011,ZA,19:45,19:50,ROTTERDAM,DISTRICT 5,3-Mar,4-LISKWARTIER,5-5,WILLEBRORDUSSTRAAT,3037TZ,Bewolking,Bewolking,v
2011002339-1,1,012,011,ZA,0:30,0:45,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,0-0,MAASHAVEN ZZ,3081AE,Bewolking,Bewolking,v
2011000997-1,2,012,011,ZO,3:02,3:30,ROTTERDAM,DISTRICT 4,1-Jan,1-OUDE WESTEN,4-4,ADRIANASTRAAT,,Bewolking,J,m
2011001493-1,2,012,011,ZO,22:30,22:45,ROTTERDAM,DISTRICT 5,6-Jun,0-SCHIEBROEK,7-7,MELANCHTONWEG,3045PN,J,Bewolking,v
2011002035-1,2,012,011,ZO,22:00,22:15,ROTTERDAM,DISTRICT 10,7-Jul,4-OUD CHARLOIS,2-2,SCHILPEROORTSTRAAT,3082SZ,Bewolking,Bewolking,m
2011002166-1,2,012,011,ZO,18:15,18:15,ROTTERDAM,DISTRICT 9,8-Aug,1-BLOEMHOF,7-7,GROENE HILLEDIJK,3073AK,Bewolking,Bewolking,v
2011002304-1,2,012,011,ZO,22:00,22:00,ROTTERDAM,DISTRICT 10,7-Jul,1-TARWEWIJK,3-3,GEERVLIETSTRAAT,3081SE,Bewolking,Bewolking,v
2011011408-1,2,012,011,ZO,19:00,19:30,ROTTERDAM,DISTRICT 4,1-Jan,3-C.S. KWARTIER,2-2,STATIONSPLEIN,,Bewolking,Bewolking,
2011002204-1,3,012,011,MA,14:15,14:45,ROTTERDAM,DISTRICT 4,1-Jan,1-OUDE WESTEN,7-7,EENDRACHTSPLEIN,3015LA,Bewolking,Bewolking,v
2011003392-1,4,012,011,DI,14:00,15:00,ROTTERDAM,DISTRICT 4,1-Jan,0-STADSDRIEHOEK,3-3,BINNENROTTE,3011HC,Bewolking,Bewolking,m
2011003544-1,4,012,011,DI,17:35,17:38,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,6-6,HEEMRAADSSINGEL,3023CE,Bewolking,Bewolking,m
2011004542-1,5,012,011,WO,14:20,14:20,ROTTERDAM,DISTRICT 6,4-Apr,2-KRALINGEN OOST,3-3,AVENUE CONCORDIA,3062LB,Bewolking,Bewolking,v
2011004761-1,5,012,011,WO,20:36,20:36,BARENDRECHT,DISTRICT 10,3-BUITEN BEBOUWDE KOM,1-NOORD,0-NOORD,VRIJENBURGPARK,,Bewolking,J,m
2011015047-1,5,012,011,WO,9:20,9:20,BARENDRECHT,DISTRICT 10,0-BARENDRECHT DORP,1-NOORD,4-BINNENLAND,KWIKSTAART,,Bewolking,Bewolking,
2011018298-1,5,012,011,WO,20:00,20:30,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,9-9,COOLHAVEN,3024AR,Bewolking,Bewolking,m
2011018430-1,5,012,011,WO,20:00,20:00,ROTTERDAM,DISTRICT 3,2-Feb,4-NIEUWE WESTEN,9-9,COOLHAVEN,3024AR,Bewolking,Bewolking,m
2011005410-1,6,012,011,DO,10:55,11:26,ROTTERDAM,DISTRICT 10,7-Jul,6-ZUIDPLEIN,2-2,ZUIDPLEIN HOOG,3083BJ,Bewolking,Bewolking,v
2011005797-1,6,012,011,DO,17:27,17:27,ROTTERDAM,DISTRICT 10,7-Jul,7-PENDRECHT,2-2,SLINGE,3086EZ,Bewolking,Bewolking,m
2011051576-1,6,012,011,DO,7:45,8:00,SCHIEDAM,DISTRICT 2,5-ZUID C,6-NIEUWLAND-OOST,7-NIEUWLAND-7,NIEUWE DAMLAAN,,Bewolking,J,
2011007020-1,7,012,011,VR,18:45,18:45,ROTTERDAM,DISTRICT 4,1-Jan,1-OUDE WESTEN,0-0,DIERGAARDESINGEL,3014AA,Bewolking,Bewolking,m
2011009566-1,7,012,011,VR,17:45,23:00,ROTTERDAM,DISTRICT 4,1-Jan,3-C.S. KWARTIER,2-2,STATIONSPLEIN,3013AJ,Bewolking,Bewolking,v
2011008322-1,8,012,011,ZA,19:45,19:45,ROTTERDAM,DISTRICT 6,6-Jun,3-OMMOORD,2-2,BINNENHOF,3069KV,Bewolking,J,m
2011008506-1,8,012,011,ZA,17:30,18:30,ROTTERDAM,DISTRICT 10,7-Jul,3-ZUIDWIJK,2-2,SLINGE,3085ER,Bewolking,Bewolking,m
2011009222-1,8,012,011,ZA,0:30,0:30,ROTTERDAM,DISTRICT 10,9-Sep,2-HOOGVLIET NOORD,1-1,AVELING,3191LB,Bewolking,J,m
2011008580-2,9,012,011,ZO,16:30,16:45,CAPELLE AAN DEN IJSSEL,DISTRICT 6,9-OOSTGAARDE ZUID,1-EILANDENBUURT,1-EILANDENBUURT,AMIRANTEN,,Bewolking,J,m
2011008586-1,9,012,011,ZO,19:45,19:45,ROTTERDAM,DISTRICT 5,6-Jun,1-HILLEGERSBERG ZUID,5-5,KLEIWEG,,Bewolking,Bewolking,v
