ID,Poging,District,Werkgebied,Plaats,Buurt,Straat,Dag,Maand,Jaar,Tijd,Soort
2007306039-2,N,DISTRICT 10,TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,77 PENDRECHT,PLEIN 1953,9,9,2007,1700,SNORFIETS
2008299823-4,N,DISTRICT 9,MAASHAVEN,ROTTERDAM,79 KOP VAN ZUID-ENTREPOT,STIELTJESSTRAAT,1,7,2011,0,BROMFIETS
2008358886-3,N,DISTRICT 11,HELLEVOETSLUIS,HELLEVOETSLUIS,01 WITTENS HOECK,DE ZICHT,1,1,2007,1,BROMFIETS
2010055395-7,N,DISTRICT 11,SPIJKENISSE,SPIJKENISSE,02 HOOGWERF-ZUID,HYACINTHSTRAAT,1,10,2010,0,BROMFIETS
2010244584-1,N,DISTRICT 6,CROOSWIJK,ROTTERDAM,36 NIEUW CROOSWIJK,VEILINGWEG,1,9,2011,1,
2011000409-1,N,DISTRICT 5,WALENBURGERWEG/OUDE NOORDEN,ROTTERDAM,31 BERGPOLDER,BERKELSELAAN,29,12,2010,2300,FIETS
2011000412-1,N,DISTRICT 11,SPIJKENISSE,SPIJKENISSE,05 CENTRUM-OOST,NIEUWSTRAAT,30,12,2010,1700,FIETS
2011000416-1,N,DISTRICT 11,SPIJKENISSE,SPIJKENISSE,05 CENTRUM-OOST,NIEUWSTRAAT,30,12,2010,1900,FIETS
2011000627-1,N,DISTRICT 3,MARCONIPLEIN,ROTTERDAM,22 TUSSENDIJKEN,SCHIEDAMSEWEG,30,12,2010,1500,FIETS
2011000878-1,N,DISTRICT 11,SPIJKENISSE,SPIJKENISSE,06 KREKEN,PAALSPORENKREEK,1,1,2011,0,FIETS
2011000909-1,N,DISTRICT 10,TARWEWIJK/OUD-CHARLOIS/CARNISSE/ZUIDWIJK/PENDRECHT,ROTTERDAM,70 CHARLOIS-ZUIDRAND,CHARLOISSE LAGEDIJK,1,1,2011,1600,BROMFIETS
2011001350-1,N,DISTRICT 6,CAPELLE,CAPELLE AAN DEN IJSSEL,02 SCHERMERHOEK,SCHERMERHOEK,2,1,2011,1815,BROMFIETS
2011001578-1,N,DISTRICT 6,CROOSWIJK,ROTTERDAM,37 OUD CROOSWIJK,CROOSWIJKSESTRAAT,15,11,2010,1620,FIETS
2011001712-1,N,DISTRICT 10,ROZENBURG,ROZENBURG ZH,04 ROZENBURG,MEEUWENSINGEL,31,12,2010,1300,FIETS
2011001993-1,N,DISTRICT 9,RIDDERKERK,RIDDERKERK,06 SLIKKEVEER,VIVALDISTRAAT,1,1,2011,1200,FIETS
2011002387-1,N,DISTRICT 11,SPIJKENISSE,SPIJKENISSE,02 HOOGWERF-ZUID,GROENE KRUISWEG,28,12,2010,950,FIETS
2011002716-1,N,DISTRICT 6,ALEXANDER ZUID,ROTTERDAM,44 'S-GRAVENLAND,ABRAM V RIJCKEVORSELPLN,2,1,2011,1130,FIETS
2011002738-1,N,DISTRICT 6,ALEXANDER ZUID,ROTTERDAM,49 HET LAGE LAND,JAAP VAN DER HOEKPLAATS,2,1,2011,1615,FIETS
2011002842-1,N,DISTRICT 10,HOOGVLIET/PERNIS,HOOGVLIET ROTTERDAM,99 HOOGVLIET-ZUID,KRUISNETLAAN,3,1,2011,1330,FIETS
