Jaar,Maand,Dag,Uur,Windsnelheid,Neerslag,Bewolking,Vochtigheid,Mist,Regen,Sneeuw,Onweer,Ijsvorming
2011,1,1,1,40,0,8,97,1,0,0,0,0
2011,1,1,2,40,0,8,96,0,0,0,0,0
2011,1,1,3,40,0,8,95,0,0,0,0,0
2011,1,1,4,40,0,8,92,0,0,0,0,0
2011,1,1,5,40,0,8,91,0,0,0,0,0
2011,1,1,6,40,0,8,90,0,0,0,0,0
2011,1,1,7,40,0,8,92,0,0,0,0,0
2011,1,1,8,40,-1,8,95,0,1,0,0,0
2011,1,1,9,40,2,8,96,0,1,0,0,0
2011,1,1,10,40,2,8,97,0,1,0,0,0
2011,1,1,11,40,3,7,93,0,1,0,0,0
2011,1,1,12,40,0,8,82,0,0,0,0,0
2011,1,1,13,50,0,7,82,0,0,0,0,0
2011,1,1,14,60,0,7,79,0,0,0,0,0
2011,1,1,15,50,0,2,80,0,0,0,0,0
2011,1,1,16,30,0,8,86,0,0,0,0,0
2011,1,1,17,30,0,2,90,0,0,0,0,0
2011,1,1,18,30,0,2,87,0,0,0,0,0
2011,1,1,19,20,0,0,91,0,0,0,0,0
2011,1,1,20,20,0,0,92,0,0,0,0,0
2011,1,1,21,20,0,3,94,0,0,0,0,0
2011,1,1,22,10,0,8,95,0,0,0,0,0
2011,1,1,23,20,0,8,92,0,0,0,0,0
2011,1,1,24,20,0,8,91,0,0,0,0,0
2011,1,2,1,30,0,8,90,0,0,0,0,0
2011,1,2,2,30,-1,8,85,0,1,0,0,0
2011,1,2,3,10,0,6,86,0,0,0,0,0
2011,1,2,4,20,0,5,88,0,0,0,0,0
2011,1,2,5,30,0,4,84,0,0,0,0,0
2011,1,2,6,40,-1,8,88,0,1,0,0,0
2011,1,2,7,40,-1,2,92,0,1,0,0,0
2011,1,2,8,20,0,7,93,0,0,0,0,0
2011,1,2,9,10,-1,1,92,0,1,0,0,0
2011,1,2,10,20,0,6,89,0,0,0,0,0
2011,1,2,11,30,0,0,83,0,0,0,0,0
2011,1,2,12,30,0,3,77,0,0,0,0,0
2011,1,2,13,40,0,1,79,0,0,0,0,0
2011,1,2,14,40,0,6,78,0,0,0,0,0
2011,1,2,15,40,0,0,79,0,0,0,0,0
2011,1,2,16,30,0,1,87,0,0,0,0,0
2011,1,2,17,30,0,0,83,0,0,0,0,0
2011,1,2,18,20,0,1,88,0,0,0,0,0
2011,1,2,19,30,0,8,91,0,0,0,0,0
2011,1,2,20,30,-1,1,87,0,1,0,0,0
2011,1,2,21,30,0,1,90,0,0,0,0,0
2011,1,2,22,20,-1,8,93,0,1,0,0,1
2011,1,2,23,20,-1,8,88,0,1,0,0,0
2011,1,2,24,30,0,7,91,0,0,0,0,0
2011,1,3,1,20,-1,7,92,0,1,0,0,0
2011,1,3,2,20,0,3,94,0,0,0,0,0
2011,1,3,3,20,0,6,94,0,0,0,0,0
2011,1,3,4,10,0,5,93,0,0,0,0,0
2011,1,3,5,10,0,3,94,0,0,0,0,0
2011,1,3,6,20,0,5,95,0,0,0,0,0
2011,1,3,7,30,-1,7,95,0,1,0,0,0
2011,1,3,8,20,15,8,96,0,1,1,0,0
2011,1,3,9,20,-1,7,96,0,1,0,0,0
2011,1,3,10,20,0,8,96,0,0,0,0,0
2011,1,3,11,20,0,8,96,0,0,0,0,0
2011,1,3,12,20,0,8,89,0,0,0,0,0
2011,1,3,13,40,0,8,85,0,0,0,0,0
2011,1,3,14,30,0,6,90,0,0,0,0,0
2011,1,3,15,20,0,8,90,0,0,0,0,0
2011,1,3,16,30,-1,8,92,0,1,0,0,0
2011,1,3,17,30,-1,8,95,0,1,0,0,0
2011,1,3,18,30,0,8,93,0,0,0,0,0
2011,1,3,19,30,6,8,95,0,1,1,0,0
2011,1,3,20,30,-1,8,94,0,1,0,0,0
2011,1,3,21,30,0,8,94,0,0,0,0,0
2011,1,3,22,20,3,8,95,0,1,0,0,0
2011,1,3,23,30,-1,8,88,0,1,0,0,0
2011,1,3,24,20,0,7,91,0,0,0,0,0
2011,1,4,1,30,0,8,93,0,0,0,0,0
2011,1,4,2,30,0,8,90,0,0,0,0,0
2011,1,4,3,40,0,8,87,0,0,0,0,0
2011,1,4,4,30,0,8,88,0,0,0,0,0
2011,1,4,5,40,0,8,91,0,0,0,0,0
2011,1,4,6,40,0,8,89,0,0,0,0,0
2011,1,4,7,50,0,8,86,0,0,0,0,0
2011,1,4,8,50,0,8,83,0,0,0,0,0
2011,1,4,9,50,0,7,83,0,0,0,0,0
2011,1,4,10,50,0,2,83,0,0,0,0,0
2011,1,4,11,60,0,5,78,0,0,0,0,0
2011,1,4,12,60,0,3,77,0,0,0,0,0
2011,1,4,13,70,0,8,76,0,0,0,0,0
2011,1,4,14,70,0,8,74,0,0,0,0,0
2011,1,4,15,60,0,8,75,0,0,0,0,0
2011,1,4,16,60,0,7,76,0,0,0,0,0
2011,1,4,17,60,0,7,77,0,0,0,0,0
2011,1,4,18,70,0,8,80,0,0,0,0,0
2011,1,4,19,60,0,8,82,0,0,0,0,0
2011,1,4,20,60,0,8,84,0,0,0,0,0
2011,1,4,21,70,0,8,84,0,0,0,0,0
2011,1,4,22,70,0,8,85,0,0,0,0,0
2011,1,4,23,70,0,8,85,0,0,0,0,0
2011,1,4,24,70,0,8,85,0,0,0,0,0
2011,1,5,1,80,0,1,84,0,0,0,0,0
2011,1,5,2,60,0,8,84,0,0,0,0,0
2011,1,5,3,60,0,8,83,0,0,0,0,0
2011,1,5,4,60,0,8,84,0,0,0,0,0
2011,1,5,5,70,-1,8,84,0,0,1,0,0
2011,1,5,6,70,0,8,83,0,0,0,0,0
2011,1,5,7,70,0,8,82,0,0,0,0,0
2011,1,5,8,70,0,8,82,0,0,0,0,0
2011,1,5,9,70,0,8,81,0,0,0,0,0
2011,1,5,10,70,0,8,81,0,0,0,0,0
2011,1,5,11,70,0,8,77,0,0,0,0,0
2011,1,5,12,70,0,4,74,0,0,0,0,0
2011,1,5,13,70,0,0,71,0,0,0,0,0
2011,1,5,14,60,0,0,69,0,0,0,0,0
2011,1,5,15,70,0,1,70,0,0,0,0,0
2011,1,5,16,60,0,6,71,0,0,0,0,0
2011,1,5,17,60,0,8,70,0,0,0,0,0
2011,1,5,18,70,0,7,70,0,0,0,0,0
2011,1,5,19,80,3,8,81,0,1,1,0,0
2011,1,5,20,70,3,8,86,0,1,1,0,0
2011,1,5,21,60,0,8,87,0,0,0,0,0
2011,1,5,22,70,3,8,90,0,1,0,0,0
2011,1,5,23,80,-1,8,92,0,1,0,0,0
2011,1,5,24,80,8,8,94,0,1,0,0,0
2011,1,6,1,70,16,8,95,0,1,0,0,0
2011,1,6,2,60,12,8,95,0,1,0,0,0
2011,1,6,3,60,12,8,95,0,1,0,0,0
2011,1,6,4,50,17,8,95,0,1,0,0,0
2011,1,6,5,50,8,8,96,0,1,0,0,0
2011,1,6,6,40,6,8,95,0,1,0,0,0
2011,1,6,7,40,1,8,96,0,1,0,0,0
2011,1,6,8,50,-1,8,96,0,1,0,0,0
2011,1,6,9,30,-1,8,97,0,1,0,0,0
2011,1,6,10,20,1,8,97,0,1,0,0,0
2011,1,6,11,30,6,8,97,0,1,0,0,0
2011,1,6,12,20,8,8,97,0,1,0,0,0
2011,1,6,13,20,10,8,97,0,1,0,0,0
2011,1,6,14,20,10,8,97,0,1,0,0,0
2011,1,6,15,20,25,8,98,0,1,0,0,0
2011,1,6,16,30,15,8,98,0,1,0,0,0
2011,1,6,17,30,14,8,97,0,1,0,0,0
2011,1,6,18,40,31,8,98,0,1,0,0,0
2011,1,6,19,50,11,8,96,0,1,0,0,0
2011,1,6,20,40,-1,8,95,0,1,0,0,0
2011,1,6,21,20,0,8,94,0,0,0,0,0
2011,1,6,22,20,0,8,95,0,0,0,0,0
2011,1,6,23,20,0,2,94,0,0,0,0,0
2011,1,6,24,30,0,2,94,0,0,0,0,0
2011,1,7,1,10,0,7,95,0,0,0,0,0
2011,1,7,2,10,0,8,96,0,0,0,0,0
2011,1,7,3,20,0,6,96,0,0,0,0,0
2011,1,7,4,20,0,8,97,1,0,0,0,0
2011,1,7,5,10,0,7,97,0,0,0,0,0
2011,1,7,6,20,0,8,97,0,0,0,0,0
2011,1,7,7,20,-1,8,97,0,1,0,0,0
2011,1,7,8,40,6,8,96,0,1,0,0,0
2011,1,7,9,50,1,8,95,0,1,0,0,0
2011,1,7,10,60,-1,8,95,0,1,0,0,0
2011,1,7,11,60,0,8,96,0,0,0,0,0
2011,1,7,12,60,0,8,96,0,0,0,0,0
2011,1,7,13,50,2,8,97,0,1,0,0,0
2011,1,7,14,50,0,8,98,0,0,0,0,0
2011,1,7,15,50,-1,8,98,0,1,0,0,0
2011,1,7,16,50,-1,8,97,0,1,0,0,0
2011,1,7,17,40,-1,7,97,0,1,0,0,0
2011,1,7,18,50,0,8,97,0,0,0,0,0
2011,1,7,19,50,0,3,97,0,0,0,0,0
2011,1,7,20,50,0,6,95,0,0,0,0,0
2011,1,7,21,60,-1,8,93,0,1,0,0,0
2011,1,7,22,60,-1,7,92,0,1,0,0,0
2011,1,7,23,70,0,8,90,0,0,0,0,0
2011,1,7,24,70,4,8,90,0,1,0,0,0
2011,1,8,1,70,14,8,92,0,1,0,0,0
2011,1,8,2,60,31,8,95,0,1,0,0,0
2011,1,8,3,70,1,8,94,0,1,0,0,0
2011,1,8,4,70,0,1,93,0,0,0,0,0
2011,1,8,5,70,0,1,93,0,0,0,0,0
2011,1,8,6,60,0,8,89,0,0,0,0,0
2011,1,8,7,80,0,8,82,0,0,0,0,0
2011,1,8,8,90,-1,8,80,0,1,0,0,0
2011,1,8,9,100,0,8,77,0,0,0,0,0
2011,1,8,10,110,0,8,77,0,0,0,0,0
2011,1,8,11,120,3,8,83,0,1,0,0,0
2011,1,8,12,110,17,8,92,0,1,0,0,0
2011,1,8,13,110,5,8,90,0,1,0,0,0
2011,1,8,14,110,2,8,85,0,1,0,0,0
2011,1,8,15,110,0,8,88,0,0,0,0,0
2011,1,8,16,100,0,8,90,0,0,0,0,0
2011,1,8,17,80,0,8,90,0,0,0,0,0
2011,1,8,18,70,9,8,95,0,1,0,0,0
2011,1,8,19,40,2,8,94,0,1,0,0,0
2011,1,8,20,30,1,8,93,0,1,0,0,0
2011,1,8,21,30,0,8,86,0,0,0,0,0
2011,1,8,22,20,0,5,90,0,0,0,0,0
2011,1,8,23,30,0,8,93,0,0,0,0,0
2011,1,8,24,30,0,8,90,0,0,0,0,0
2011,1,9,1,30,0,6,87,0,0,0,0,0
2011,1,9,2,40,0,6,88,0,0,0,0,0
2011,1,9,3,50,0,7,87,0,0,0,0,0
2011,1,9,4,50,0,5,87,0,0,0,0,0
2011,1,9,5,60,0,0,84,0,0,0,0,0
2011,1,9,6,60,0,0,84,0,0,0,0,0
2011,1,9,7,60,0,3,87,0,0,0,0,0
2011,1,9,8,50,0,1,89,0,0,0,0,0
2011,1,9,9,50,0,4,88,0,0,0,0,0
2011,1,9,10,60,0,4,87,0,0,0,0,0
2011,1,9,11,60,0,2,82,0,0,0,0,0
2011,1,9,12,60,0,0,77,0,0,0,0,0
2011,1,9,13,70,0,0,74,0,0,0,0,0
2011,1,9,14,70,0,0,75,0,0,0,0,0
2011,1,9,15,60,0,0,79,0,0,0,0,0
2011,1,9,16,50,0,0,85,0,0,0,0,0
2011,1,9,17,40,0,0,87,0,0,0,0,0
2011,1,9,18,50,0,0,89,0,0,0,0,0
2011,1,9,19,40,0,0,89,0,0,0,0,0
2011,1,9,20,40,0,0,91,0,0,0,0,0
2011,1,9,21,40,0,0,92,0,0,0,0,0
2011,1,9,22,30,0,0,92,0,0,0,0,0
2011,1,9,23,40,0,0,93,0,0,0,0,0
2011,1,9,24,30,0,0,94,0,0,0,0,0
2011,1,10,1,30,0,0,95,0,0,0,0,0
2011,1,10,2,30,0,0,94,0,0,0,0,0
2011,1,10,3,20,0,0,95,0,0,0,0,0
2011,1,10,4,30,0,0,95,0,0,0,0,0
2011,1,10,5,30,0,0,96,0,0,0,0,0
2011,1,10,6,30,0,0,96,0,0,0,0,0
2011,1,10,7,40,0,0,96,0,0,0,0,0
2011,1,10,8,40,0,0,96,0,0,0,0,0
2011,1,10,9,40,0,0,96,0,0,0,0,0
2011,1,10,10,40,0,4,92,0,0,0,0,0
2011,1,10,11,50,0,0,88,0,0,0,0,0
2011,1,10,12,50,0,2,87,0,0,0,0,0
2011,1,10,13,50,0,6,86,0,0,0,0,0
2011,1,10,14,50,0,6,86,0,0,0,0,0
2011,1,10,15,50,0,6,86,0,0,0,0,0
2011,1,10,16,50,0,6,86,0,0,0,0,0
2011,1,10,17,50,0,1,87,0,0,0,0,0
2011,1,10,18,60,0,0,89,0,0,0,0,0
2011,1,10,19,60,0,1,91,0,0,0,0,0
2011,1,10,20,60,0,0,92,0,0,0,0,0
2011,1,10,21,60,0,0,90,0,0,0,0,0
2011,1,10,22,60,0,3,90,0,0,0,0,0
2011,1,10,23,60,0,5,88,0,0,0,0,0
2011,1,10,24,70,0,2,87,0,0,0,0,0
2011,1,11,1,70,0,0,86,0,0,0,0,0
2011,1,11,2,70,0,3,86,0,0,0,0,0
2011,1,11,3,80,0,7,86,0,0,0,0,0
2011,1,11,4,80,0,6,86,0,0,0,0,0
2011,1,11,5,70,0,8,86,0,0,0,0,0
2011,1,11,6,80,0,8,85,0,0,0,0,0
2011,1,11,7,80,8,8,87,0,1,0,0,0
2011,1,11,8,80,12,8,89,0,1,0,0,0
2011,1,11,9,80,4,8,90,0,1,0,0,0
2011,1,11,10,80,4,8,92,0,1,0,0,0
2011,1,11,11,60,4,8,95,0,1,0,0,0
2011,1,11,12,50,2,8,96,0,1,0,0,0
2011,1,11,13,50,0,8,94,0,0,0,0,0
2011,1,11,14,40,0,8,91,0,0,0,0,0
2011,1,11,15,50,0,8,94,0,0,0,0,0
2011,1,11,16,50,2,8,95,0,1,0,0,0
2011,1,11,17,60,5,8,95,0,1,0,0,0
2011,1,11,18,60,1,8,94,0,1,0,0,0
2011,1,11,19,70,-1,8,91,0,1,0,0,0
2011,1,11,20,70,0,8,87,0,0,0,0,0
2011,1,11,21,80,0,8,81,0,0,0,0,0
2011,1,11,22,70,0,8,79,0,0,0,0,0
